,entry_i,entry_p,sl,tp,hp_i,slope,intercept,resist_s,tl_err,max_dist,vol,exit_i,exit_p,return,model_prob
16,728.0,5604.0,5463.9,6164.400000000001,788.0,4.346427053606123,5335.9181237930125,4.346427053606123,73.03854381449725,172.57170939759908,0.0,748.0,6186.4501953125,582.4501953125,0.45886984126984137
17,805.0,6060.35009765625,5908.841345214843,6666.385107421876,865.0,-7.226143593784646,6489.429538125901,-7.226143593784646,243.92330861967042,462.8858862495845,0.0,812.0,5904.60009765625,-155.75,0.43193809523809534
18,848.0,5522.2998046875,5384.2423095703125,6074.529785156251,908.0,-19.021684080851784,6545.805463354138,-19.021684080851784,266.84912444036433,703.2187270307304,0.0,860.0,5373.7001953125,-148.599609375,0.5276342352092354
19,865.0,5654.25,5512.89375,6219.675,925.0,-11.249602762010452,6191.348905942281,-11.249602762010452,274.2322960124519,628.0610183944673,0.0,891.0,5459.85009765625,-194.39990234375,0.2952814574314574
20,926.0,5471.25,5334.46875,6018.375000000001,986.0,-10.76647890494267,6062.196522632718,-10.76647890494267,144.18706323118047,374.94652263271837,0.0,954.0,5331.7998046875,-139.4501953125,0.613486507936508
21,982.0,5084.25,4957.14375,5592.675,1042.0,-17.272856830747976,6094.848368625451,-17.272856830747976,286.9982783163026,836.9484662817013,0.0,986.0,4923.64990234375,-160.60009765625,0.3324762987012988
22,997.0,4979.60009765625,4855.110095214844,5477.560107421876,1057.0,-14.025972420000953,5806.533556467509,-14.025972420000953,239.37656604102236,609.9026343399782,0.0,1023.0,4778.35009765625,-201.25,0.30279455266955263
23,1055.0,4849.5498046875,4728.311059570312,5334.50478515625,1115.0,-11.891062687418724,5527.175072936362,-11.891062687418724,242.08204234240557,775.8752682488621,0.0,1073.0,5361.64990234375,512.10009765625,0.32725526695526697
24,1075.0,5368.14990234375,5233.946154785156,5904.964892578126,1135.0,1.24695554947704,5289.35009765625,1.24695554947704,404.49612620957276,778.81770217963,0.0,1093.0,5222.39990234375,-145.75,0.3226656565656566
25,1155.0,5049.64990234375,4923.408654785156,5554.614892578125,1215.0,-10.477377662330198,5615.289099226666,-10.477377662330198,163.32646144313318,315.78794494103386,0.0,1215.0,5274.0,224.35009765625,0.5473981601731603
26,1223.0,5577.64990234375,5438.208654785156,6135.414892578126,1283.0,2.7019599982739564,5304.82069768214,2.7019599982739564,121.72184445413862,334.77361763553745,0.0,1283.0,5896.7998046875,319.14990234375,0.8200742063492064
27,1292.0,5993.25,5843.41875,6592.575000000001,1352.0,3.5826885348107176,5776.852032051818,3.5826885348107176,128.46051700581774,319.94826047826155,0.0,1331.0,5761.35009765625,-231.89990234375,0.8200424603174604
28,1367.0,5834.39990234375,5688.539904785156,6417.839892578126,1427.0,-6.126124043263802,6144.541416208815,-6.126124043263802,150.48656910701158,330.8828683028469,135100.0,1408.0,5655.89990234375,-178.5,0.6274414141414143
29,1423.0,5935.10009765625,5786.722595214844,6528.610107421876,1483.0,-7.026777569353284,6334.862133643919,-7.026777569353284,231.56887503549726,766.4622313001692,120200.0,1436.0,5755.0498046875,-180.05029296875,0.3402528832278832
30,1463.0,5896.75,5749.33125,6486.425,1523.0,-8.9934728020544,6329.617043145023,-8.9934728020544,358.2337735443138,676.4127335306421,275200.0,1477.0,5735.2998046875,-161.4501953125,0.07896785714285713
31,1489.0,6189.35009765625,6034.616345214844,6808.285107421875,1549.0,0.9680849016242847,6075.863634884251,0.9680849016242847,350.8596313441466,816.033842326482,250300.0,1505.0,6018.0498046875,-171.30029296875,0.10936785714285718
32,1581.0,6328.64990234375,6170.433654785156,6961.514892578126,1641.0,-1.8347817054488005,6406.20231593398,-1.8347817054488005,156.12707756334422,331.01124302852804,160300.0,1623.0,7014.25,685.60009765625,0.1715083333333334
33,1624.0,7108.75,6931.03125,7819.625000000001,1684.0,13.289430495161405,6274.150722935683,13.289430495161405,152.3455957200278,371.7981635036331,232200.0,1676.0,7830.60009765625,721.85009765625,0.18707500000000005
34,1698.0,7936.0498046875,7737.6485595703125,8729.65478515625,1758.0,3.94000489083415,7688.649780072897,3.94000489083415,148.9174080764624,352.7000244541714,120000.0,1758.0,8524.7001953125,588.650390625,0.24584166666666668
35,1791.0,8695.599609375,8478.209619140625,9565.1595703125,1851.0,-1.10333246521146,8615.833311630286,-1.10333246521146,271.4624371747767,736.4334092865356,158700.0,1835.0,8342.150390625,-353.44921875,0.07620119047619049
36,1892.0,8353.099609375,8144.272119140624,9188.4095703125,1952.0,-12.518139648976419,8996.735815436694,-12.518139648976419,289.86067300543124,617.0310058647647,122700.0,1937.0,7809.0,-544.099609375,0.17298333333333335
37,1964.0,8119.2998046875,7916.317309570312,8931.22978515625,2024.0,-15.21156677393065,8951.49739384292,-15.21156677393065,313.2537163296734,738.6002178764011,183100.0,1988.0,7915.2001953125,-204.099609375,0.17125
38,2015.0,7834.4501953125,7638.588940429688,8617.895214843751,2075.0,-12.484815944379521,8570.116146088849,-12.484815944379521,248.91905619840296,733.1465142000907,126300.0,2026.0,7568.2998046875,-266.150390625,0.24298333333333333
39,2063.0,7222.2998046875,7041.7423095703125,7944.529785156251,2123.0,-19.05049605479541,8308.309522697364,-19.05049605479541,250.9282305522533,619.6075384781816,275100.0,2097.0,7962.64990234375,740.35009765625,0.1875
40,2098.0,7979.89990234375,7780.402404785156,8777.889892578125,2158.0,7.1277703069106515,7542.166493766768,7.1277703069106515,276.7432129378201,728.3773428625527,206800.0,2102.0,7747.0,-232.89990234375,0.31033333333333335
